State, Facility Name, Facility ID (ORISPL), Unit ID, Year, Facility Latitude, Facility Longitude, Owner, Operator
"AL","Colbert","47","2","2016","34.7439","-87.8486","Tennessee Valley Authority","Tennessee Valley Authority",
"AL","Colbert","47","3","2015","34.7439","-87.8486","Tennessee Valley Authority","Tennessee Valley Authority",
"AL","Colbert","47","3","2016","34.7439","-87.8486","Tennessee Valley Authority","Tennessee Valley Authority",
"AL","Colbert","47","4","2015","34.7439","-87.8486","Tennessee Valley Authority","Tennessee Valley Authority",
"AL","Colbert","47","4","2016","34.7439","-87.8486","Tennessee Valley Authority","Tennessee Valley Authority",
"AL","Colbert","47","5","2015","34.7439","-87.8486","Tennessee Valley Authority","Tennessee Valley Authority",
"AL","Colbert","47","5","2016","34.7439","-87.8486","Tennessee Valley Authority","Tennessee Valley Authority",
"AL","Colbert","47","CCT1","2015","34.7439","-87.8486","Tennessee Valley Authority","Tennessee Valley Authority",
"AL","Colbert","47","CCT1","2016","34.7439","-87.8486","Tennessee Valley Authority","Tennessee Valley Authority",
"AL","Colbert","47","CCT2","2015","34.7439","-87.8486","Tennessee Valley Authority","Tennessee Valley Authority",
"AL","Colbert","47","CCT2","2016","34.7439","-87.8486","Tennessee Valley Authority","Tennessee Valley Authority",
"AL","Colbert","47","CCT3","2015","34.7439","-87.8486","Tennessee Valley Authority","Tennessee Valley Authority",
"AL","Colbert","47","CCT3","2016","34.7439","-87.8486","Tennessee Valley Authority","Tennessee Valley Authority",
"AL","Colbert","47","CCT4","2015","34.7439","-87.8486","Tennessee Valley Authority","Tennessee Valley Authority",
"AL","Colbert","47","CCT4","2016","34.7439","-87.8486","Tennessee Valley Authority","Tennessee Valley Authority",
"AL","Colbert","47","CCT5","2015","34.7439","-87.8486","Tennessee Valley Authority","Tennessee Valley Authority",
"AL","Colbert","47","CCT5","2016","34.7439","-87.8486","Tennessee Valley Authority","Tennessee Valley Authority",
"AL","Colbert","47","CCT6","2015","34.7439","-87.8486","Tennessee Valley Authority","Tennessee Valley Authority",
"AL","Colbert","47","CCT6","2016","34.7439","-87.8486","Tennessee Valley Authority","Tennessee Valley Authority",
"AL","Colbert","47","CCT7","2015","34.7439","-87.8486","Tennessee Valley Authority","Tennessee Valley Authority",
"AL","Colbert","47","CCT7","2016","34.7439","-87.8486","Tennessee Valley Authority","Tennessee Valley Authority",
"AL","Colbert","47","CCT8","2015","34.7439","-87.8486","Tennessee Valley Authority","Tennessee Valley Authority",
"AL","Colbert","47","CCT8","2016","34.7439","-87.8486","Tennessee Valley Authority","Tennessee Valley Authority",
"AL","Decatur Energy Center","55292","CTG-1","2015","34.6292","-87.0214","Decatur Energy Center, LLC","Decatur Energy Center, LLC",
"AL","Decatur Energy Center","55292","CTG-1","2016","34.6292","-87.0214","Decatur Energy Center, LLC","Decatur Energy Center, LLC",
"AL","Decatur Energy Center","55292","CTG-2","2015","34.6292","-87.0214","Decatur Energy Center, LLC","Decatur Energy Center, LLC",
"AL","Decatur Energy Center","55292","CTG-2","2016","34.6292","-87.0214","Decatur Energy Center, LLC","Decatur Energy Center, LLC",
"AL","Decatur Energy Center","55292","CTG-3","2015","34.6292","-87.0214","Decatur Energy Center, LLC","Decatur Energy Center, LLC",
"AL","Decatur Energy Center","55292","CTG-3","2016","34.6292","-87.0214","Decatur Energy Center, LLC","Decatur Energy Center, LLC",
"AL","E B Harris Generating Plant","7897","1A","2015","32.3814","-86.5736","Southern Company","Alabama Power Company",
"AL","E B Harris Generating Plant","7897","1A","2016","32.3814","-86.5736","Southern Company","Alabama Power Company",
"AL","E B Harris Generating Plant","7897","1B","2015","32.3814","-86.5736","Southern Company","Alabama Power Company",
"AL","E B Harris Generating Plant","7897","1B","2016","32.3814","-86.5736","Southern Company","Alabama Power Company",
"AL","E B Harris Generating Plant","7897","2A","2015","32.3814","-86.5736","Southern Company","Alabama Power Company",
"AL","E B Harris Generating Plant","7897","2A","2016","32.3814","-86.5736","Southern Company","Alabama Power Company",
"AL","E B Harris Generating Plant","7897","2B","2015","32.3814","-86.5736","Southern Company","Alabama Power Company",
"AL","E B Harris Generating Plant","7897","2B","2016","32.3814","-86.5736","Southern Company","Alabama Power Company",
"AL","E C Gaston","26","1","2015","33.2442","-86.4567","Alabama Power Company, Georgia Power Company, Southern Company","Alabama Power Company",
"AL","E C Gaston","26","1","2016","33.2442","-86.4567","Alabama Power Company, Georgia Power Company, Southern Company","Alabama Power Company",
"AL","E C Gaston","26","2","2015","33.2442","-86.4567","Alabama Power Company, Georgia Power Company, Southern Company","Alabama Power Company",
"AL","E C Gaston","26","2","2016","33.2442","-86.4567","Alabama Power Company, Georgia Power Company, Southern Company","Alabama Power Company",
"AL","E C Gaston","26","3","2015","33.2442","-86.4567","Alabama Power Company, Georgia Power Company, Southern Company","Alabama Power Company",
"AL","E C Gaston","26","3","2016","33.2442","-86.4567","Alabama Power Company, Georgia Power Company, Southern Company","Alabama Power Company",
"AL","E C Gaston","26","4","2015","33.2442","-86.4567","Alabama Power Company, Georgia Power Company, Southern Company","Alabama Power Company",
"AL","E C Gaston","26","4","2016","33.2442","-86.4567","Alabama Power Company, Georgia Power Company, Southern Company","Alabama Power Company",
"AL","E C Gaston","26","5","2015","33.2442","-86.4567","Alabama Power Company","Alabama Power Company",
"AL","E C Gaston","26","5","2016","33.2442","-86.4567","Alabama Power Company","Alabama Power Company",
"AL","Gadsden","7","1","2015","34.0128","-85.9708","Alabama Power Company","Alabama Power Company",
"AL","Gadsden","7","1","2016","34.0128","-85.9708","Alabama Power Company","Alabama Power Company",
"AL","Gadsden","7","2","2015","34.0128","-85.9708","Alabama Power Company","Alabama Power Company",
"AL","Gadsden","7","2","2016","34.0128","-85.9708","Alabama Power Company","Alabama Power Company",
"AL","Gorgas","8","10","2015","33.6446","-87.2003","Alabama Power Company","Alabama Power Company",
"AL","Gorgas","8","10","2016","33.6446","-87.2003","Alabama Power Company","Alabama Power Company",
"AL","Gorgas","8","6","2015","33.6446","-87.2003","Alabama Power Company","Alabama Power Company",
"AL","Gorgas","8","7","2015","33.6446","-87.2003","Alabama Power Company","Alabama Power Company",
"AL","Gorgas","8","8","2015","33.6446","-87.2003","Alabama Power Company","Alabama Power Company",
"AL","Gorgas","8","8","2016","33.6446","-87.2003","Alabama Power Company","Alabama Power Company",
"AL","Gorgas","8","9","2015","33.6446","-87.2003","Alabama Power Company","Alabama Power Company",
"AL","Gorgas","8","9","2016","33.6446","-87.2003","Alabama Power Company","Alabama Power Company",
"AL","Greene County","10","1","2015","32.6017","-87.7811","Alabama Power Company, Mississippi Power Company","Alabama Power Company",
"AL","Greene County","10","1","2016","32.6017","-87.7811","Alabama Power Company, Mississippi Power Company","Alabama Power Company",
"AL","Greene County","10","2","2015","32.6017","-87.7811","Alabama Power Company, Mississippi Power Company","Alabama Power Company",
"AL","Greene County","10","2","2016","32.6017","-87.7811","Alabama Power Company, Mississippi Power Company","Alabama Power Company",
"AL","Greene County","10","CT10","2015","32.6017","-87.7811","Alabama Power Company","Alabama Power Company",
"AL","Greene County","10","CT10","2016","32.6017","-87.7811","Alabama Power Company","Alabama Power Company",
"AL","Greene County","10","CT2","2015","32.6017","-87.7811","Alabama Power Company","Alabama Power Company",
"AL","Greene County","10","CT2","2016","32.6017","-87.7811","Alabama Power Company","Alabama Power Company",
"AL","Greene County","10","CT3","2015","32.6017","-87.7811","Alabama Power Company","Alabama Power Company",
"AL","Greene County","10","CT3","2016","32.6017","-87.7811","Alabama Power Company","Alabama Power Company",
"AL","Greene County","10","CT4","2015","32.6017","-87.7811","Alabama Power Company","Alabama Power Company",
"AL","Greene County","10","CT4","2016","32.6017","-87.7811","Alabama Power Company","Alabama Power Company",
"AL","Greene County","10","CT5","2015","32.6017","-87.7811","Alabama Power Company","Alabama Power Company",
"AL","Greene County","10","CT5","2016","32.6017","-87.7811","Alabama Power Company","Alabama Power Company",
"AL","Greene County","10","CT6","2015","32.6017","-87.7811","Alabama Power Company","Alabama Power Company",
"AL","Greene County","10","CT6","2016","32.6017","-87.7811","Alabama Power Company","Alabama Power Company",
"AL","Greene County","10","CT7","2015","32.6017","-87.7811","Alabama Power Company","Alabama Power Company",
"AL","Greene County","10","CT7","2016","32.6017","-87.7811","Alabama Power Company","Alabama Power Company",
"AL","Greene County","10","CT8","2015","32.6017","-87.7811","Alabama Power Company","Alabama Power Company",
"AL","Greene County","10","CT8","2016","32.6017","-87.7811","Alabama Power Company","Alabama Power Company",
"AL","Greene County","10","CT9","2015","32.6017","-87.7811","Alabama Power Company","Alabama Power Company",
"AL","Greene County","10","CT9","2016","32.6017","-87.7811","Alabama Power Company","Alabama Power Company",
"AL","Hillabee Energy Center","55411","CT1","2015","33","-85.9031","CER Generation, LLC","CER Generation, LLC",
"AL","Hillabee Energy Center","55411","CT1","2016","33","-85.9031","CER Generation, LLC","CER Generation, LLC",
"AL","Hillabee Energy Center","55411","CT2","2015","33","-85.9031","CER Generation, LLC","CER Generation, LLC",
"AL","Hillabee Energy Center","55411","CT2","2016","33","-85.9031","CER Generation, LLC","CER Generation, LLC",
"AL","Hog Bayou Energy Center","55241","COG01","2015","30.7478","-88.0575","Mobile Energy, LLC","Calpine Operating Services Company, Inc.",
"AL","Hog Bayou Energy Center","55241","COG01","2016","30.7478","-88.0575","Mobile Energy, LLC","Calpine Operating Services Company, Inc.",
"AL","Indorama Ventures Xylenes and PTA, LLC","880075","AB8301","2015","34.64","-87.0583","BP Amoco Chemical Company","BP Amoco Chemical Company",
"AL","Indorama Ventures Xylenes and PTA, LLC","880075","AB8301","2016","34.64","-87.0583","BP Amoco Chemical Company, Indorama Ventures Xylenes and PTA, LLC","BP Amoco Chemical Company, Indorama Ventures Xylenes and PTA, LLC",
"AL","International Paper-Prattville Mill","52140","Z006","2015","32.4167","-86.4667","International Paper Company","International Paper Company",
"AL","International Paper-Prattville Mill","52140","Z006","2016","32.4167","-86.4667","International Paper Company","International Paper Company",
"AL","International Paper-Prattville Mill","52140","Z008","2015","32.4167","-86.4667","International Paper Company","International Paper Company",
"AL","International Paper-Prattville Mill","52140","Z008","2016","32.4167","-86.4667","International Paper Company","International Paper Company",
"AL","International Paper-Riverdale Mill","54096","X026","2015","32.425","-86.8694","International Paper Company","International Paper Company",
"AL","International Paper-Riverdale Mill","54096","X026","2016","32.425","-86.8694","International Paper Company","International Paper Company",
"AL","International Paper-Riverdale Mill","54096","Z007","2015","32.425","-86.8694","International Paper Company","International Paper Company",
"AL","International Paper-Riverdale Mill","54096","Z007","2016","32.425","-86.8694","International Paper Company","International Paper Company",
"AL","James H Miller Jr","6002","1","2015","33.6319","-87.0597","Alabama Electric Cooperative, Inc., Alabama Power Company","Alabama Power Company",
"AL","James H Miller Jr","6002","1","2016","33.6319","-87.0597","Alabama Electric Cooperative, Inc., Alabama Power Company","Alabama Power Company",
"AL","James H Miller Jr","6002","2","2015","33.6319","-87.0597","Alabama Electric Cooperative, Inc., Alabama Power Company","Alabama Power Company",
"AL","James H Miller Jr","6002","2","2016","33.6319","-87.0597","Alabama Electric Cooperative, Inc., Alabama Power Company","Alabama Power Company",
"AL","James H Miller Jr","6002","3","2015","33.6319","-87.0597","Alabama Power Company","Alabama Power Company",
"AL","James H Miller Jr","6002","3","2016","33.6319","-87.0597","Alabama Power Company","Alabama Power Company",
"AL","James H Miller Jr","6002","4","2015","33.6319","-87.0597","Alabama Power Company","Alabama Power Company",
"AL","James H Miller Jr","6002","4","2016","33.6319","-87.0597","Alabama Power Company","Alabama Power Company",
"AL","McIntosh (7063)","7063","**1","2015","31.2546","-88.0299","PowerSouth Energy Cooperative, Inc.","PowerSouth Energy Cooperative, Inc.",
"AL","McIntosh (7063)","7063","**1","2016","31.2546","-88.0299","PowerSouth Energy Cooperative, Inc.","PowerSouth Energy Cooperative, Inc.",
"AL","McIntosh (7063)","7063","**2","2015","31.2546","-88.0299","PowerSouth Energy Cooperative, Inc.","PowerSouth Energy Cooperative, Inc.",
"AL","McIntosh (7063)","7063","**2","2016","31.2546","-88.0299","PowerSouth Energy Cooperative, Inc.","PowerSouth Energy Cooperative, Inc.",
"AL","McIntosh (7063)","7063","**3","2015","31.2546","-88.0299","PowerSouth Energy Cooperative, Inc.","PowerSouth Energy Cooperative, Inc.",
"AL","McIntosh (7063)","7063","**3","2016","31.2546","-88.0299","PowerSouth Energy Cooperative, Inc.","PowerSouth Energy Cooperative, Inc.",
"AL","McIntosh (7063)","7063","**4","2015","31.2546","-88.0299","PowerSouth Energy Cooperative, Inc.","PowerSouth Energy Cooperative, Inc.",
"AL","McIntosh (7063)","7063","**4","2016","31.2546","-88.0299","PowerSouth Energy Cooperative, Inc.","PowerSouth Energy Cooperative, Inc.",
"AL","McIntosh (7063)","7063","**5","2015","31.2546","-88.0299","PowerSouth Energy Cooperative, Inc.","PowerSouth Energy Cooperative, Inc.",
"AL","McIntosh (7063)","7063","**5","2016","31.2546","-88.0299","PowerSouth Energy Cooperative, Inc.","PowerSouth Energy Cooperative, Inc.",
"AL","McWilliams","533","**4","2015","31.4001","-86.4767","PowerSouth Energy Cooperative, Inc.","PowerSouth Energy Cooperative, Inc.",
"AL","McWilliams","533","**4","2016","31.4001","-86.4767","PowerSouth Energy Cooperative, Inc.","PowerSouth Energy Cooperative, Inc.",
"AL","McWilliams","533","**V1","2015","31.4001","-86.4767","PowerSouth Energy Cooperative, Inc.","PowerSouth Energy Cooperative, Inc.",
"AL","McWilliams","533","**V1","2016","31.4001","-86.4767","PowerSouth Energy Cooperative, Inc.","PowerSouth Energy Cooperative, Inc.",
"AL","McWilliams","533","**V2","2015","31.4001","-86.4767","PowerSouth Energy Cooperative, Inc.","PowerSouth Energy Cooperative, Inc.",
"AL","McWilliams","533","**V2","2016","31.4001","-86.4767","PowerSouth Energy Cooperative, Inc.","PowerSouth Energy Cooperative, Inc.",
"AL","MeadWestvaco Coated Board, LLC","54802","X022","2015","32.175","-85.0311","MeadWestVaco Coated Board, LLC","MeadWestVaco Coated Board, LLC",
"AL","MeadWestvaco Coated Board, LLC","54802","X022","2016","32.175","-85.0311","MeadWestVaco Coated Board, LLC","MeadWestVaco Coated Board, LLC",
"AL","MeadWestvaco Coated Board, LLC","54802","Z008","2015","32.175","-85.0311","MeadWestVaco Coated Board, LLC","MeadWestVaco Coated Board, LLC",
"AL","MeadWestvaco Coated Board, LLC","54802","Z008","2016","32.175","-85.0311","MeadWestVaco Coated Board, LLC","MeadWestVaco Coated Board, LLC",
"AL","Morgan Energy Center","55293","CT-1","2015","34.6397","-87.0639","Morgan Energy Center, LLC","Calpine Operating Services Company, Inc.",
"AL","Morgan Energy Center","55293","CT-1","2016","34.6397","-87.0639","Morgan Energy Center, LLC","Calpine Operating Services Company, Inc.",
"AL","Morgan Energy Center","55293","CT-2","2015","34.6397","-87.0639","Morgan Energy Center, LLC","Calpine Operating Services Company, Inc.",
"AL","Morgan Energy Center","55293","CT-2","2016","34.6397","-87.0639","Morgan Energy Center, LLC","Calpine Operating Services Company, Inc.",
"AL","Morgan Energy Center","55293","CT-3","2015","34.6397","-87.0639","Morgan Energy Center, LLC","Calpine Operating Services Company, Inc.",
"AL","Morgan Energy Center","55293","CT-3","2016","34.6397","-87.0639","Morgan Energy Center, LLC","Calpine Operating Services Company, Inc.",
"AL","Plant H. Allen Franklin","7710","1A","2015","32.6094","-85.0961","Southern Company","Georgia Power Company",
"AL","Plant H. Allen Franklin","7710","1A","2016","32.6094","-85.0961","Southern Company","Georgia Power Company",
"AL","Plant H. Allen Franklin","7710","1B","2015","32.6094","-85.0961","Southern Company","Georgia Power Company",
"AL","Plant H. Allen Franklin","7710","1B","2016","32.6094","-85.0961","Southern Company","Georgia Power Company",
"AL","Plant H. Allen Franklin","7710","2A","2015","32.6094","-85.0961","Southern Company","Georgia Power Company",
"AL","Plant H. Allen Franklin","7710","2A","2016","32.6094","-85.0961","Southern Company","Georgia Power Company",
"AL","Plant H. Allen Franklin","7710","2B","2015","32.6094","-85.0961","Southern Company","Georgia Power Company",
"AL","Plant H. Allen Franklin","7710","2B","2016","32.6094","-85.0961","Southern Company","Georgia Power Company",
"AL","Plant H. Allen Franklin","7710","3A","2015","32.6094","-85.0961","Southern Company","Georgia Power Company",
"AL","Plant H. Allen Franklin","7710","3A","2016","32.6094","-85.0961","Southern Company","Georgia Power Company",
"AL","Plant H. Allen Franklin","7710","3B","2015","32.6094","-85.0961","Southern Company","Georgia Power Company",
"AL","Plant H. Allen Franklin","7710","3B","2016","32.6094","-85.0961","Southern Company","Georgia Power Company",
"AL","RockTenn CP LLC Stevenson Mill","880101","PB3","2015","34.838","-85.7865","RockTenn CP, LLC","RockTenn CP, LLC",
"AL","RockTenn CP LLC Stevenson Mill","880101","PB3","2016","34.838","-85.7865","RockTenn CP, LLC","RockTenn CP, LLC",
"AL","SABIC Innovative Plastics - Burkville","7698","CC1","2015","32.3102","-86.5242","Alabama Power Company","SABIC Innovative Plastics US LLC",
"AL","SABIC Innovative Plastics - Burkville","7698","CC1","2016","32.3102","-86.5242","Alabama Power Company","SABIC Innovative Plastics US LLC",
"AL","Tenaska Central Alabama Gen Station","55440","CTGDB1","2015","32.6503","-86.7386","Tenaska Alabama Partners, LP","Tenaska Alabama Partners, LP",
"AL","Tenaska Central Alabama Gen Station","55440","CTGDB1","2016","32.6503","-86.7386","Tenaska Alabama Partners, LP","Tenaska Alabama Partners, LP",
"AL","Tenaska Central Alabama Gen Station","55440","CTGDB2","2015","32.6503","-86.7386","Tenaska Alabama Partners, LP","Tenaska Alabama Partners, LP",
"AL","Tenaska Central Alabama Gen Station","55440","CTGDB2","2016","32.6503","-86.7386","Tenaska Alabama Partners, LP","Tenaska Alabama Partners, LP",
"AL","Tenaska Central Alabama Gen Station","55440","CTGDB3","2015","32.6503","-86.7386","Tenaska Alabama Partners, LP","Tenaska Alabama Partners, LP",
"AL","Tenaska Central Alabama Gen Station","55440","CTGDB3","2016","32.6503","-86.7386","Tenaska Alabama Partners, LP","Tenaska Alabama Partners, LP",
"AL","Tenaska Lindsay Hill Generating Station","55271","CT1","2015","32.6514","-86.7386","Tenaska Alabama Partners, LP","Tenaska Alabama Partners, LP",
"AL","Tenaska Lindsay Hill Generating Station","55271","CT1","2016","32.6514","-86.7386","Tenaska Alabama Partners, LP","Tenaska Alabama Partners, LP",
"AL","Tenaska Lindsay Hill Generating Station","55271","CT2","2015","32.6514","-86.7386","Tenaska Alabama Partners, LP","Tenaska Alabama Partners, LP",
"AL","Tenaska Lindsay Hill Generating Station","55271","CT2","2016","32.6514","-86.7386","Tenaska Alabama Partners, LP","Tenaska Alabama Partners, LP",
"AL","Tenaska Lindsay Hill Generating Station","55271","CT3","2015","32.6514","-86.7386","Tenaska Alabama Partners, LP","Tenaska Alabama Partners, LP",
"AL","Tenaska Lindsay Hill Generating Station","55271","CT3","2016","32.6514","-86.7386","Tenaska Alabama Partners, LP","Tenaska Alabama Partners, LP",
"AL","Theodore Cogeneration","7721","CC1","2015","30.5248","-88.1289","Alabama Power Company","Alabama Power Company",
"AL","Theodore Cogeneration","7721","CC1","2016","30.5248","-88.1289","Alabama Power Company","Alabama Power Company",
"AL","US Steel (Fairfield Works)","50730","206","2015","33.4833","-86.9261","United States Steel Corporation","US Steel Corporation - Fairfield Works",
"AL","US Steel (Fairfield Works)","50730","206","2016","33.4833","-86.9261","United States Steel Corporation","US Steel Corporation - Fairfield Works",
"AL","US Steel (Fairfield Works)","50730","208","2015","33.4833","-86.9261","United States Steel Corporation","US Steel Corporation - Fairfield Works",
"AL","US Steel (Fairfield Works)","50730","208","2016","33.4833","-86.9261","United States Steel Corporation","US Steel Corporation - Fairfield Works",
"AL","US Steel (Fairfield Works)","50730","209","2015","33.4833","-86.9261","United States Steel Corporation","US Steel Corporation - Fairfield Works",
"AL","US Steel (Fairfield Works)","50730","209","2016","33.4833","-86.9261","United States Steel Corporation","US Steel Corporation - Fairfield Works",
"AL","US Steel (Fairfield Works)","50730","210","2015","33.4833","-86.9261","United States Steel Corporation","US Steel Corporation - Fairfield Works",
"AL","US Steel (Fairfield Works)","50730","210","2016","33.4833","-86.9261","United States Steel Corporation","US Steel Corporation - Fairfield Works",
"AL","Walton Discover Power Facility","55138","1A","2015","32.5412","-85.0384","South Eastern Electric Development Corp","South Eastern Electric Development Corp",
"AL","Walton Discover Power Facility","55138","1A","2016","32.5412","-85.0384","South Eastern Electric Development Corp, Walton Discover LLC","South Eastern Electric Development Corp, Walton Discover LLC",
"AL","Walton Discover Power Facility","55138","1B","2015","32.5412","-85.0384","South Eastern Electric Development Corp","South Eastern Electric Development Corp",
"AL","Walton Discover Power Facility","55138","1B","2016","32.5412","-85.0384","South Eastern Electric Development Corp, Walton Discover LLC","South Eastern Electric Development Corp, Walton Discover LLC",
"AL","Walton Discover Power Facility","55138","2A","2015","32.5412","-85.0384","South Eastern Electric Development Corp","South Eastern Electric Development Corp",
"AL","Walton Discover Power Facility","55138","2A","2016","32.5412","-85.0384","South Eastern Electric Development Corp, Walton Discover LLC","South Eastern Electric Development Corp, Walton Discover LLC",
"AL","Walton Discover Power Facility","55138","2B","2015","32.5412","-85.0384","South Eastern Electric Development Corp","South Eastern Electric Development Corp",
"AL","Walton Discover Power Facility","55138","2B","2016","32.5412","-85.0384","South Eastern Electric Development Corp, Walton Discover LLC","South Eastern Electric Development Corp, Walton Discover LLC",
"AL","Washington County Cogen (Olin)","7697","CC1","2015","31.2622","-88.0052","Alabama Power Company","Alabama Power Company",
"AL","Washington County Cogen (Olin)","7697","CC1","2016","31.2622","-88.0052","Alabama Power Company","Alabama Power Company",
"AL","Widows Creek","50","7","2015","34.8825","-85.7547","Tennessee Valley Authority","Tennessee Valley Authority",
"AL","Widows Creek","50","7","2016","34.8825","-85.7547","Tennessee Valley Authority","Tennessee Valley Authority",
"AL","Widows Creek","50","8","2015","34.8825","-85.7547","Tennessee Valley Authority","Tennessee Valley Authority",
