State,Facility Name,Facility ID (ORISPL),Unit ID,Caveat
"CA","Donald Von Raesfeld","56026",,"Facility ID (ORISPL) change from 8058 to 56026",
"AL","Plant H. Allen Franklin","7710",,"Facility ID (ORISPL) change from 7840 to 7710",
"DE","NRG Energy Center Dover","10030",,"Facility ID (ORISPL) change from 880002 to 10030",
"IL","NRG Rockford II Energy Center","55936",,"Facility ID (ORISPL) change from 55461 to 55936",
"ME","Bucksport Generation LLC","50243",,"Facility ID (ORISPL) change from 55180 to 50243",
"NY","Astoria Gas Turbine Power","55243",,"Facility ID (ORISPL) change from 8906 to 55243",
"TX","Baytown Energy Center","55327",,"Facility ID (ORISPL) change from 55195 to 55327",
"LA","Perryville Power Station","55620",,"Facility ID (ORISPL) change from 7864 to 55620",
"WV","UCC South Charleston Plant","50151",,"Facility ID (ORISPL) change from 880026 to 50151",
"OH","ArcelorMittal Cleveland LLC","10398",,"Facility ID (ORISPL) change from 880032 to 10398",
"CT","Norwich","581",,"Facility ID (ORISPL) change from 880022 to 581",
"VA","GP Big Island, LLC","50479",,"Facility ID (ORISPL) change from 880035 to 50479",
"CA","Delta Energy Center, LLC","55333",,"Facility ID (ORISPL) change from 54001 to 55333",
"WI","Sheboygan Falls Energy Facility","56166",,"Facility ID (ORISPL) change from 56186 to 56166",
"CO","Brush Power Projects","10682",,"Facility ID (ORISPL) change from 55209 to 10682",
"TX","Sand Hill Energy Center","7900",,"Facility ID (ORISPL) change from 1700 to 7900",
"KS","Chanute 2","1268",,"Facility ID (ORISPL) change from 3355 to 1268",
"AL","US Steel (Fairfield Works)","50730",,"Facility ID (ORISPL) change from 880046 to 50730",
"MS","Kemper County","7960",,"Facility ID (ORISPL) change from 7923 to 7960",
"OH","The Ohio State University","50044",,"Facility ID (ORISPL) change from 14013 to 50044",
"SC","Jasper County Generating Facility","55927",,"Facility ID (ORISPL) change from 7996 to 55927",
"TN","Brownsville CT","55081",,"Facility ID (ORISPL) change from 2387 to 55081",
"MN","Lakefield Junction Generating","7925",,"Facility ID (ORISPL) change from 55140 to 7925",
"WV","Chemours Belle Plant","10788",,"Facility ID (ORISPL) change from 880027 to 10788",
"NY","Pouch Terminal","8053",,"Facility ID (ORISPL) change from 7911 to 8053",
"CT","Waterside Power, LLC","56189",,"Facility ID (ORISPL) change from 880069 to 56189",
"NC","Edgecombe Genco, LLC","10384",,"Facility ID (ORISPL) change from 50468 to 10384",
"FL","Suwannee River","638","3A","Unit ID change from P3 to 3A",
"FL","Suwannee River","638","2A","Unit ID change from P2 to 2A",
"FL","Suwannee River","638","1A","Unit ID change from P1 to 1A",
"FL","Intercession City","8049","6A","Unit ID change from P6 to 6A",
"FL","Intercession City","8049","5A","Unit ID change from P5 to 5A",
"FL","Intercession City","8049","4A","Unit ID change from P4 to 4A",
"FL","Intercession City","8049","1A","Unit ID change from P1 to 1A",
"FL","Intercession City","8049","3A","Unit ID change from P3 to 3A",
"FL","Intercession City","8049","2A","Unit ID change from P2 to 2A",
"TX","Greens Bayou","3464","GBY84","Unit ID change from 84 to GBY84",
"TX","Greens Bayou","3464","GBY83","Unit ID change from 83 to GBY83",
"TX","Greens Bayou","3464","GBY82","Unit ID change from 82 to GBY82",
"TX","Greens Bayou","3464","GBY81","Unit ID change from 81 to GBY81",
"TX","Greens Bayou","3464","GBY74","Unit ID change from 74 to GBY74",
"TX","Greens Bayou","3464","GBY73","Unit ID change from 73 to GBY73",
"NJ","Linden Generating Station","2406","2201","Unit ID change from 202 to 2201",
"NJ","Linden Generating Station","2406","2101","Unit ID change from 201 to 2101",
"NJ","Linden Generating Station","2406","1201","Unit ID change from 102 to 1201",
"NJ","Linden Generating Station","2406","1101","Unit ID change from 101 to 1101",
"VA","Louisa Generation Facility","7837","EU5","Unit ID change from 5 to EU5",
"VA","Louisa Generation Facility","7837","EU4","Unit ID change from 4 to EU4",
"VA","Louisa Generation Facility","7837","EU3","Unit ID change from 3 to EU3",
"VA","Louisa Generation Facility","7837","EU2","Unit ID change from 2 to EU2",
"VA","Louisa Generation Facility","7837","2","Unit ID change from EU2 to 2",
"VA","Louisa Generation Facility","7837","EU2","Unit ID change from 2 to EU2",
"VA","Louisa Generation Facility","7837","EU1","Unit ID change from 1 to EU1",
"VA","Louisa Generation Facility","7837","1","Unit ID change from EU1 to 1",
"VA","Louisa Generation Facility","7837","EU1","Unit ID change from 1 to EU1",
"TX","South Houston Green Power Site","55470","EPN803","Unit ID change from COGTR3 to EPN803",
"TX","South Houston Green Power Site","55470","EPN802","Unit ID change from COGTR2 to EPN802",
"TX","South Houston Green Power Site","55470","EPN801","Unit ID change from COGTR1 to EPN801",
"LA","Brame Energy Center","6190","3-1","Unit ID change from 3 to 3-1",
"OH","West Lorain","2869","1B","Unit ID change from CT1B to 1B",
"OH","West Lorain","2869","1A","Unit ID change from CT1A to 1A",
"TX","Copper Station","9","CTG-1","Unit ID change from 1002 to CTG-1",
"GA","Bowen","703","6A","Unit ID change from 6 to 6A",
"NC","Butler-Warner Generation Plant","1016","GT-8","Unit ID change from GT8 to GT-8",
"NC","Butler-Warner Generation Plant","1016","GT-7","Unit ID change from GT7 to GT-7",
"NC","Butler-Warner Generation Plant","1016","GT7","Unit ID change from 9 to GT7",
"NC","Butler-Warner Generation Plant","1016","GT-6","Unit ID change from GT6 to GT-6",
"NC","Butler-Warner Generation Plant","1016","GT6","Unit ID change from 8 to GT6",
"NC","Butler-Warner Generation Plant","1016","GT-5","Unit ID change from GT5 to GT-5",
"NC","Butler-Warner Generation Plant","1016","GT5","Unit ID change from 7 to GT5",
"NC","Butler-Warner Generation Plant","1016","GT-4","Unit ID change from GT4 to GT-4",
"NC","Butler-Warner Generation Plant","1016","GT4","Unit ID change from 6 to GT4",
"FL","Fort Myers","612","GFM02","Unit ID change from GFM2 to GFM02",
"FL","Fort Myers","612","GFM01","Unit ID change from GFM1 to GFM01",
"AR","Oswald Generating Station","55221","G7","Unit ID change from SN7 to G7",
"AR","Oswald Generating Station","55221","G6","Unit ID change from SN6 to G6",
"AR","Oswald Generating Station","55221","G5","Unit ID change from SN5 to G5",
"AR","Oswald Generating Station","55221","G4","Unit ID change from SN4 to G4",
"AR","Oswald Generating Station","55221","G3","Unit ID change from SN3 to G3",
"AR","Oswald Generating Station","55221","G2","Unit ID change from SN2 to G2",
"AR","Oswald Generating Station","55221","G1","Unit ID change from SN1 to G1",
"MS","David M Ratcliffe","57037","AB-002","Unit ID change from AB002 to AB-002",
"MS","David M Ratcliffe","57037","AB-001","Unit ID change from AB001 to AB-001",
"NH","Granite Ridge Energy","55170","0002","Unit ID change from 2 to 0002",
"NH","Granite Ridge Energy","55170","0001","Unit ID change from 1 to 0001",
"WA","Frederickson Power LP","55818","F1CT","Unit ID change from 10645 to F1CT",
"TX","Nacogdoches Power LLC","55708","CT1","Unit ID change from HRSG-2 to CT1",
"TX","Nacogdoches Power LLC","55708","BFB-1","Unit ID change from BLR1 to BFB-1",
"TX","Nacogdoches Power LLC","55708","BLR1","Unit ID change from HRSG-1 to BLR1",
"PA","Fairless Energy, LLC","55298","2B","Unit ID change from 4 to 2B",
"PA","Fairless Energy, LLC","55298","2A","Unit ID change from 3 to 2A",
"PA","Fairless Energy, LLC","55298","1B","Unit ID change from 2 to 1B",
"PA","Fairless Energy, LLC","55298","2","Unit ID change from CT2 to 2",
"PA","Fairless Energy, LLC","55298","1A","Unit ID change from 1 to 1A",
"PA","Fairless Energy, LLC","55298","1","Unit ID change from CT1 to 1",
"IL","Morris Cogeneration, LLC","55216","CTG3","Unit ID change from CT-3 to CTG3",
"IL","Morris Cogeneration, LLC","55216","CTG2","Unit ID change from CT-2 to CTG2",
"IL","Morris Cogeneration, LLC","55216","CTG1","Unit ID change from CT-1 to CTG1",
"GA","Mid-Georgia Cogeneration","55040","2","Unit ID change from 201 to 2",
"GA","Mid-Georgia Cogeneration","55040","201","Unit ID change from 2 to 201",
"GA","Mid-Georgia Cogeneration","55040","1","Unit ID change from 101 to 1",
"GA","Mid-Georgia Cogeneration","55040","101","Unit ID change from 1 to 101",
"NM","Bluffview Power Plant","55977","CTG-1","Unit ID change from CTG1 to CTG-1",
"MN","Faribault Energy Park","56164","EU006","Unit ID change from 06 to EU006",
"CA","Creed Energy Center","55625","UNIT1","Unit ID change from 1 to UNIT1",
"CA","Goose Haven Energy Center","55627","UNIT1","Unit ID change from 1 to UNIT1",
"LA","Teche Power Station","1400","4","Unit ID change from CT-01 to 4",
"CA","Delano Energy Center, LLC","58122","GEN1","Delano Energy Center, LLC (ORISPL 58122) Unit GEN1 in California was previously Wellhead Power Gates, LLC (ORISPL 55875) Unit GT1 in California, and started submitting emissions at the new location in Q1 2013",
"FL","Indian River (55318)","55318","1","Indian River (ORISPL 55318) Unit 1 in Florida was previously Indian River (ORISPL 683) Unit 1 in Florida, and started submitting emissions at the new location in Q2 2000",
"FL","Indian River (55318)","55318","2","Indian River (ORISPL 55318) Unit 2 in Florida was previously Indian River (ORISPL 683) Unit 2 in Florida, and started submitting emissions at the new location in Q2 2000",
"FL","Indian River (55318)","55318","3","Indian River (ORISPL 55318) Unit 3 in Florida was previously Indian River (ORISPL 683) Unit 3 in Florida, and started submitting emissions at the new location in Q2 2000",
"FL","Auburndale Peaker Energy Center","55833","6","Auburndale Peaker Energy Center (ORISPL 55833) Unit 6 in Florida was previously Quantum Auburndale Power, LP (ORISPL 54658) Unit 6 in Florida, and started submitting emissions at the new location in Q1 2009",
"GA","Wansley CC (55965)","55965","6A","Wansley CC (ORISPL 55965) Unit 6A in Georgia was previously Wansley (ORISPL 6052) Unit 6A in Georgia, and started submitting emissions at the new location in Q1 2012",
"GA","Wansley CC (55965)","55965","6B","Wansley CC (ORISPL 55965) Unit 6B in Georgia was previously Wansley (ORISPL 6052) Unit 6B in Georgia, and started submitting emissions at the new location in Q1 2012",
"GA","Wansley CC (55965)","55965","7A","Wansley CC (ORISPL 55965) Unit 7A in Georgia was previously Wansley (ORISPL 6052) Unit 7A in Georgia, and started submitting emissions at the new location in Q1 2012",
"GA","Wansley CC (55965)","55965","7B","Wansley CC (ORISPL 55965) Unit 7B in Georgia was previously Wansley (ORISPL 6052) Unit 7B in Georgia, and started submitting emissions at the new location in Q1 2012",
"TX","San Jacinto County Peaking Facility","56603","SJCCT1","San Jacinto County Peaking Facility (ORISPL 56603) Unit SJCCT1 in Texas was previously Warren Peaking Power Facility (ORISPL 55303) Unit AA-002 in Mississippi, and started submitting emissions at the new location in Q2 2009",
"TX","San Jacinto County Peaking Facility","56603","SJCCT2","San Jacinto County Peaking Facility (ORISPL 56603) Unit SJCCT2 in Texas was previously Warren Peaking Power Facility (ORISPL 55303) Unit AA-003 in Mississippi, and started submitting emissions at the new location in Q1 2009",
"TX","Hardin County Peaking Facility","56604","HCCT1","Hardin County Peaking Facility (ORISPL 56604) Unit HCCT1 in Texas was previously Warren Peaking Power Facility (ORISPL 55303) Unit AA-001 in Mississippi, and started submitting emissions at the new location in Q2 2009",
"TX","Hardin County Peaking Facility","56604","HCCT2","Hardin County Peaking Facility (ORISPL 56604) Unit HCCT2 in Texas was previously Warren Peaking Power Facility (ORISPL 55303) Unit AA-004 in Mississippi, and started submitting emissions at the new location in Q1 2009",
"TX","Newman","3456","GT-6A","Newman (ORISPL 3456) Unit GT-6A in Texas was previously KGen Enterprise Facility (ORISPL 55373) Unit CT7 in Mississippi, and started submitting emissions at the new location in Q2 2009",
"TX","Newman","3456","GT-6B","Newman (ORISPL 3456) Unit GT-6B in Texas was previously KGen Enterprise Facility (ORISPL 55373) Unit CT8 in Mississippi, and started submitting emissions at the new location in Q2 2009",
"TX","Quail Run Energy Center","56349","CT2A","Quail Run Energy Center (ORISPL 56349) Unit CT2A in Texas was previously KGen Enterprise Facility (ORISPL 55373) Unit CT3 in Mississippi, and started submitting emissions at the new location in Q2 2008",
"TX","Quail Run Energy Center","56349","CT2B","Quail Run Energy Center (ORISPL 56349) Unit CT2B in Texas was previously KGen Enterprise Facility (ORISPL 55373) Unit CT4 in Mississippi, and started submitting emissions at the new location in Q2 2008",
"TX","Colorado Bend Energy Center","56350","CT1A","Colorado Bend Energy Center (ORISPL 56350) Unit CT1A in Texas was previously KGen Enterprise Facility (ORISPL 55373) Unit CT1 in Mississippi, and started submitting emissions at the new location in Q2 2007",
"TX","Colorado Bend Energy Center","56350","CT1B","Colorado Bend Energy Center (ORISPL 56350) Unit CT1B in Texas was previously KGen Enterprise Facility (ORISPL 55373) Unit CT2 in Mississippi, and started submitting emissions at the new location in Q2 2007",
"TX","Colorado Bend Energy Center","56350","CT2A","Colorado Bend Energy Center (ORISPL 56350) Unit CT2A in Texas was previously KGen Enterprise Facility (ORISPL 55373) Unit CT5 in Mississippi, and started submitting emissions at the new location in Q3 2008",
"TX","Colorado Bend Energy Center","56350","CT2B","Colorado Bend Energy Center (ORISPL 56350) Unit CT2B in Texas was previously KGen Enterprise Facility (ORISPL 55373) Unit CT6 in Mississippi, and started submitting emissions at the new location in Q3 2008",
"AR","Harry D. Mattison Power Plant","56328","3","Harry D. Mattison Power Plant (ORISPL 56328) Unit 3 in Arkansas was previously Caledonia Power I, LLC (ORISPL 55082) Unit AA-001 in Mississippi, and started submitting emissions at the new location in Q3 2007",
"AR","Harry D. Mattison Power Plant","56328","4","Harry D. Mattison Power Plant (ORISPL 56328) Unit 4 in Arkansas was previously Caledonia Power I, LLC (ORISPL 55082) Unit AA-002 in Mississippi, and started submitting emissions at the new location in Q3 2007",
"OK","Riverside (4940)","4940","1503","Riverside (ORISPL 4940) Unit 1503 in Oklahoma was previously Caledonia Power I, LLC (ORISPL 55082) Unit AA-003 in Mississippi, and started submitting emissions at the new location in Q1 2008",
"OK","Riverside (4940)","4940","1504","Riverside (ORISPL 4940) Unit 1504 in Oklahoma was previously Caledonia Power I, LLC (ORISPL 55082) Unit AA-004 in Mississippi, and started submitting emissions at the new location in Q1 2008",
"OK","Southwestern","2964","8004","Southwestern (ORISPL 2964) Unit 8004 in Oklahoma was previously Caledonia Power I, LLC (ORISPL 55082) Unit AA-005 in Mississippi, and started submitting emissions at the new location in Q1 2008",
"OK","Southwestern","2964","8005","Southwestern (ORISPL 2964) Unit 8005 in Oklahoma was previously Caledonia Power I, LLC (ORISPL 55082) Unit AA-006 in Mississippi, and started submitting emissions at the new location in Q1 2008",
"NY","Ravenswood Steam Plant","880100","BLR001","Ravenswood Steam Plant (ORISPL 880100) Unit BLR001 in New York was previously Ravenswood Generating Station (ORISPL 2500) Unit BLR001 in New York, and started submitting emissions at the new location in Q1 2010",
"NY","Ravenswood Steam Plant","880100","BLR002","Ravenswood Steam Plant (ORISPL 880100) Unit BLR002 in New York was previously Ravenswood Generating Station (ORISPL 2500) Unit BLR002 in New York, and started submitting emissions at the new location in Q1 2010",
"NY","Ravenswood Steam Plant","880100","BLR003","Ravenswood Steam Plant (ORISPL 880100) Unit BLR003 in New York was previously Ravenswood Generating Station (ORISPL 2500) Unit BLR003 in New York, and started submitting emissions at the new location in Q1 2010",
"NY","Ravenswood Steam Plant","880100","BLR004","Ravenswood Steam Plant (ORISPL 880100) Unit BLR004 in New York was previously Ravenswood Generating Station (ORISPL 2500) Unit BLR004 in New York, and started submitting emissions at the new location in Q1 2010",
"LA","Waterford 1 & 2","8056","4","Waterford 1 & 2 (ORISPL 8056) Unit 4 in Louisiana was previously South Glens Falls Energy (ORISPL 10618) Unit 1 in New York, and started submitting emissions at the new location in Q3 2009",
"PA","Hunlock Unit 4","56397","4","Hunlock (ORISPL 56397) Unit 4 in Pennsylvania was previously Hunlock Creek Energy Center (ORISPL 3176) Unit 4 in Pennsylvania, and started submitting emissions at the new location in Q1 2006",
"WY","Neil Simpson II (CT2)","55477","CT2","Neil Simpson II (ORISPL 55477) Unit CT2 in Wyoming was previously Neil Simpson II (ORISPL 7504) Unit CT2 in Wyoming, and started submitting emissions at the new location in Q3 2001",
"FL","Lauderdale","613","GFL01","Unit ID change from GFL1 to GFL01",
"FL","Port Everglades","617","GPE09","Unit ID change from GPE9 to GPE09",
"FL","Port Everglades","617","GPE08","Unit ID change from GPE8 to GPE08",
"FL","Port Everglades","617","GPE07","Unit ID change from GPE7 to GPE07",
"FL","Port Everglades","617","GPE06","Unit ID change from GPE6 to GPE06",
"FL","Port Everglades","617","GPE05","Unit ID change from GPE5 to GPE05",
"FL","Port Everglades","617","GPE04","Unit ID change from GPE4 to GPE04",
"FL","Port Everglades","617","GPE03","Unit ID change from GPE3 to GPE03",
"FL","Port Everglades","617","GPE02","Unit ID change from GPE2 to GPE02",
"FL","Port Everglades","617","GPE01","Unit ID change from GPE1 to GPE01",
"PA","NextEra Energy Marcus Hook, LP","55801","AB04","Unit ID change from 0007 to AB04",
"PA","NextEra Energy Marcus Hook, LP","55801","AB03","Unit ID change from 0006 to AB03",
"PA","NextEra Energy Marcus Hook, LP","55801","AB02","Unit ID change from 0005 to AB02",
"PA","NextEra Energy Marcus Hook, LP","55801","AB01","Unit ID change from 0004 to AB01",
"TX","Sandy Creek Energy Station","56611","S01","Unit ID change from 1 to S01",
"WI","Island Street Peaking Plant","55836","1B","Unit ID change from CT1B to 1B",
"WI","Island Street Peaking Plant","55836","1A","Unit ID change from CT1A to 1A",
"NY","Lehigh Northeast Cement Company","880052","01070","Unit ID change from 1070 to 01070",
"NY","Lehigh Northeast Cement Company","880052","1070","Unit ID change from 1070N to 1070",
"TX","Cottonwood Energy Project","55358","CT4","Unit ID change from 000CT4 to CT4",
"TX","Cottonwood Energy Project","55358","CT3","Unit ID change from 000CT3 to CT3",
"TX","Cottonwood Energy Project","55358","CT2","Unit ID change from 000CT2 to CT2",
"TX","Cottonwood Energy Project","55358","CT1","Unit ID change from 000CT1 to CT1",
"CO","Spindle Hill Energy Center","56445","CT-02","Unit ID change from 2 to CT-02",
"CO","Spindle Hill Energy Center","56445","CT-01","Unit ID change from 1 to CT-01",
"WI","Germantown Power Plant","6253","P33","Unit ID change from 4 to P33",
"WI","Germantown Power Plant","6253","P32","Unit ID change from 3 to P32",
"WI","Germantown Power Plant","6253","P31","Unit ID change from 2 to P31",
"WI","Germantown Power Plant","6253","P30","Unit ID change from 1 to P30",
"MI","Eckert Station","1831","14","Unit ID change from MP14 to 14",
"TX","T H Wharton","3469","THW56","Unit ID change from 56 to THW56",
"TX","T H Wharton","3469","THW55","Unit ID change from 55 to THW55",
"TX","T H Wharton","3469","THW54","Unit ID change from 54 to THW54",
"TX","T H Wharton","3469","THW53","Unit ID change from 53 to THW53",
"TX","T H Wharton","3469","THW52","Unit ID change from 52 to THW52",
"TX","T H Wharton","3469","THW51","Unit ID change from 51 to THW51",
"TX","T H Wharton","3469","THW44","Unit ID change from 44 to THW44",
"TX","T H Wharton","3469","THW43","Unit ID change from 43 to THW43",
"TX","T H Wharton","3469","THW42","Unit ID change from 42 to THW42",
"TX","T H Wharton","3469","THW41","Unit ID change from 41 to THW41",
"TX","T H Wharton","3469","THW34","Unit ID change from 34 to THW34",
"TX","T H Wharton","3469","THW33","Unit ID change from 33 to THW33",
"TX","T H Wharton","3469","THW32","Unit ID change from 32 to THW32",
"TX","T H Wharton","3469","THW31","Unit ID change from 31 to THW31",
"PA","TC Ironwood LLC","55337","0002","Unit ID change from 2 to 0002",
"PA","TC Ironwood LLC","55337","0001","Unit ID change from 1 to 0001",
"VA","RockTenn West Point Mill","10017","002","Unit ID change from 2 to 002",
"AL","RockTenn CP LLC Stevenson Mill","880101","PB3","Unit ID change from 1 to PB3",
"FL","Fort Myers","612","GFM10","Unit ID change from GMF10 to GFM10",
"FL","Fort Myers","612","GFM09","Unit ID change from GFM9 to GFM09",
"FL","Fort Myers","612","GFM08","Unit ID change from GFM8 to GFM08",
"FL","Fort Myers","612","GFM07","Unit ID change from GFM7 to GFM07",
"FL","Fort Myers","612","GFM06","Unit ID change from GFM6 to GFM06",
"FL","Fort Myers","612","GFM05","Unit ID change from GFM5 to GFM05",
"FL","Fort Myers","612","GFM04","Unit ID change from GFM4 to GFM04",
"FL","Fort Myers","612","GFM03","Unit ID change from GFM3 to GFM03",
"CA","Yuba City Energy Center","10349",,"Facility name change from Greenleaf II Energy Center on 05/27/2003",
"TX","Oak Grove","6180",,"Facility name change from Twin Oak on 03/22/2007",
"NY","Castleton Power, LLC","10190",,"Facility name change from Transcanada Power Castleton on 01/15/2002",
"NY","Castleton Power, LLC","10190",,"Facility name change from Castleton on 10/06/2005",
"CA","CalPeak Power - Enterprise LLC","55513",,"Facility name change from Enterprise No. 7 - Cal Peak Power on 03/04/2002",
"TX","Johnson County Generation Facility","54817",,"Facility name change from Cleburne Cogeneration Facility on 01/31/2006",
"MI","DTE Pontiac North LLC","10111",,"Facility name change from General Motors Corporation - Pontiac on 02/12/2007",
"MA","L'Energia Energy Center","54586",,"Facility name change from UAE Lowell Power LLC on 01/15/2002",
"MA","L'Energia Energy Center","54586",,"Facility name change from LPG Associates, LLC on 10/03/2006",
"MA","L'Energia Energy Center","54586",,"Facility name change from Lowell Power, LLC on 10/03/2006",
"TX","South Houston Green Power Site","55470",,"Facility name change from Green Power on 10/01/2003",
"IN","IPL - Eagle Valley Generating Station","991",,"Facility name change from H T Pritchard on 12/13/2001",
"IN","IPL - Eagle Valley Generating Station","991",,"Facility name change from Eagle Valley (H T Pritchard) on 01/04/2005",
"AZ","Desert Basin Generating Station","55129",,"Facility name change from Desert Basin - Reliant Energy on 07/15/2002",
"AZ","Desert Basin Generating Station","55129",,"Facility name change from Reliant Energy Desert Basin on 10/27/2003",
"NM","Luna Energy Facility","55343",,"Facility name change from Deming Energy Facility on 10/04/2005",
"VA","MeadWestvaco of Virginia, Covington","50900",,"Facility name change from Westvaco of Virginia, Inc Covington on 02/06/2003",
"ID","Evander Andrews Power Complex","7953",,"Facility name change from Mountain Home Generation Station on 05/02/2006",
"MN","Taconite Harbor Energy Center","10075",,"Facility name change from Rainy River Energy Corporation on 07/15/2002",
"FL","Reedy Creek","7254",,"Facility name change from Combined Cycle 1 on 02/11/2002",
"NJ","Howard M Down","2434",,"Facility name change from Howard M on 01/22/2004",
"TX","New Gulf Power Facility","50137",,"Facility name change from Newgulf on 11/01/2006",
"CA","Donald Von Raesfeld","56026",,"Facility name change from Pico Power Plant on 02/03/2005",
"AL","Plant H. Allen Franklin","7710",,"Facility name change from Goat Rock CC on 09/11/2002",
"VA","Spruance Genco, LLC","54081",,"Facility name change from Cogentrix of Richmond on 03/21/2006",
"CA","Etiwanda Generating Station","331",,"Facility name change from Mountain Vista (Etiwanda) on 07/19/2002",
"CA","Mandalay Generating Station","345",,"Facility name change from Ocean Vista (Mandalay) on 07/19/2002",
"MI","Otsego Paper, Inc.","55799",,"Facility name change from Menasha Corp. on 10/25/2006",
"MS","Watson Electric Generating Plant","2049",,"Facility name change from Jack Watson on 12/13/2001",
"PA","Honeywell Resins & Chemicals LLC","880007",,"Facility name change from Allied Signal (Frankford Plant) on 07/15/2002",
"OK","Tenaska Kiamichi Generating Station","55501",,"Facility name change from Kiamichi Energy Facility on 08/12/2003",
"TN","Valero Refining Company-Tennessee, LLC","55703",,"Facility name change from Williams Refining & Marketing, LLC on 04/23/2003",
"WV","Bayer","880053",,"Facility name change from Aventis Cropscience Institute Plant on 10/19/2004",
"CA","CalPeak Power - Vaca Dixon LLC","55499",,"Facility name change from Vaca-Dixon No. 1- Cal Peak Power on 03/04/2002",
"WI","Combined Locks Energy Center, LLC","55558",,"Facility name change from Appleton Coated Locks Mill on 09/28/2006",
"CA","Lambie Energy Center","55626",,"Facility name change from Panda West Power II on 07/19/2002",
"NY","Beaver Falls, LLC","10617",,"Facility name change from CH Resources - Beaver Falls on 07/27/2002",
"NY","Beaver Falls, LLC","10617",,"Facility name change from WPS Empire State, Inc-Beaver Falls on 10/10/2003",
"NY","Syracuse, LLC","10621",,"Facility name change from CH Resources - Syracuse on 07/15/2002",
"NY","Syracuse, LLC","10621",,"Facility name change from WPS Empire State, Inc-Syracuse on 09/28/2006",
"OH","AMP-Ohio Gas Turbines Napoleon","55264",,"Facility name change from PG&E Napoleon on 09/22/2003",
"IL","NRG Rockford II Energy Center","55936",,"Facility name change from Indeck-Rockford II Energy Center on 02/06/2003",
"TX","Twin Oaks","7030",,"Facility name change from Tnp One on 07/15/2002",
"TX","Twin Oaks","7030",,"Facility name change from TNP One on 01/07/2003",
"WI","DTE Stoneman, LLC","4146",,"Facility name change from Stoneman on 09/28/2006",
"TX","Channelview Cogeneration Facility","55187",,"Facility name change from Channelview Cogeneration on 07/15/2002",
"AZ","Arlington Valley Energy Facility","55282",,"Facility name change from Duke Energy Arlington Valley on 06/05/2006",
"MO","South Harper Peaking Facility","56151",,"Facility name change from Camp Branch Energy Center on 01/07/2005",
"NY","Caithness Long Island Energy Center","56234",,"Facility name change from Caithness Bellport Energy Center on 10/25/2005",
"NV","Walter M. Higgins III Generating Station","55687",,"Facility name change from Bighorn Electric Generating Station on 01/08/2004",
"NC","NCEMC Anson Plant","56249",,"Facility name change from Anson County Generation on 03/20/2006",
